标题,封面链接,详情页链接,作者,简介,字数,价格
闻春声,https://pic.arkread.com/cover/ebook/f/480345289.1727327982.jpg!cover_default.jpg,https://read.douban.com/ebook/480345289/,长青长白,【木讷结巴糙汉VS风情泼辣寡妇，种田文，1v1，sc】  【女撩男，铁树开花，古风种田文】  在媒婆的撺掇下，大姑娘姚春娘带着嫁妆远嫁到了梨水村张家。  怎料成亲当晚，病秧子丈夫便两眼一闭蹬了腿，姚春娘还没醒过神来，一夜间就成了梨水村最年轻的寡妇。小寡妇隔壁邻居姓齐，齐家上有老下有小，中间一个年轻力壮的结巴撑家，叫齐声。齐声寡言少语，三天憋不出一句话，平日和姚春娘碰了面，闷头连个招呼都不打。但时间久了，村里不知怎么渐渐传出闲话，说张家的小寡妇和齐家的结巴好上了。    长青长白，人气作家，代表作《衔玉》《闻春声》《金丝鞘》。,167548字,11.99元
保重,https://pic.arkread.com/cover/ebook/f/408055069.1664273537.jpg!cover_default.jpg,https://read.douban.com/ebook/408055069/,大冰,大冰阔别三年，书写全新故事，小蓝书系列收官之作！  全新21万字，讲述那些凡人微光、烟火凡间。工人的女儿、唱歌最好的女科学家、独臂少年与盲人弟弟、神奇的一家人与传奇的忘年交……小蓝书系列七本书自此收官，有些故事还没讲完那就算了吧。世间没有不散的相伴，不必遗憾小蓝书的完结。  本书特为看书不方便的读者行个方便，开放播音版权，一起为他们行个方便。  ◎写作十年，认真剖白和自省，起底自己的出身，讲述自己的家人和故乡  十年写作生涯，坦诚剖析自我。长达6万字《胶东往事·三部曲》，是直面自己的卑微，是人到中年的自省，是一场艰难的反思与追寻。  ◎决绝书写《十年》后记，感恩千万读者十年陪伴  大冰：我曾紧握过你们当中百万人的手，曾看完过无数条你们的回馈留言，我知道你们当中太多人一年一本地读着这套小蓝书去当兵或求学、成家和立业、结婚又生子，从少年到青年，或从青年步入中年……希望你过得好。感恩十年，诸君不弃，予我以倾听，赠我以温饱体面。  ◎收录文中人声音，定制专属音乐；听他们的声音，读他们的故事  碗儿和爸爸的声音；我的乡音掖县话、乳山话；女科学家一鸣的声音；忘年交包先生父子的对话；赵鑫鑫和姐姐的日常；弟弟刘奥博的声音；铁成一家的声音……  另有《他亦飘零久》《关于我爱你》《麦田守望者》等定制专属音乐免费听。    大冰，作者。作品：《乖，摸摸头》《阿弥陀佛么么哒》《好吗好的》《我不》《你坏》《小孩》《乖，摸摸头2.0》《啊2.0》。,218300字,39.8元
红楼梦（套装全2册）,https://pic.arkread.com/cover/ebook/f/169371278.1653695523.jpg!cover_default.jpg,https://read.douban.com/bundle/169371278/,"曹雪芹 著, 无名氏 续",《红楼梦》，中国古代四大名著之一，也是中国古代小说的巅峰之作。全书以荣国府的日常生活为中心，以宝玉、黛玉、宝钗的爱情婚姻悲剧及大观园中点滴琐事为主线，以金陵贵族名门贾、史、王、薛四大家族由鼎盛走向衰亡的历史为暗线，展现了封建时代家族和社会的没落。,1085589字,22.99元
夜晚的潜水艇,https://pic.arkread.com/cover/ebook/f/332667273.1653693358.jpg!cover_default.jpg,https://read.douban.com/ebook/332667273/,陈春成,仿佛鸟栖树，鱼潜渊，一切稳妥又安宁，夜晚这才真正地降临。  本书是作家陈春成的首部短篇小说集。九个故事，笔锋游走于旧山河与未知宇宙间，以瑰奇飘扬的想象、温厚清幽的笔法，在现实与幻境间辟开若干条秘密的通道：海底漫游的少年、深山遗落的古碑、弥散入万物的字句、云彩修剪站、铸剑与酿酒、铁幕下的萨克斯、蓝鲸内的演奏厅……  潜入故事深处，感知体内的星云旋动、草木蔓发；以词语的微光，探照记忆的海沟。关于藏匿与寻找、追捕与逃遁，种种无常中的一点确凿，烈日与深渊间的一小片清凉。陈春成的小说世界，是可供藏身的洞窟，悬浮于纸上的宫殿，航向往昔的潜艇，呈现汉语小说的一种风度与新的可能性。    陈春成，男，1990年出生，福建省宁德市屏南县人，现居福建泉州。小说发表于豆瓣平台、文学期刊。《音乐家》荣获2019收获文学排行榜中篇小说奖项。,102513字,24.99元
长安的荔枝,https://pic.arkread.com/cover/ebook/f/421999317.1678240757.jpg!cover_default.jpg,https://read.douban.com/ebook/421999317/,马伯庸,大唐天宝十四年，长安城的小吏李善德突然接到一个任务：要在贵妃诞日之前，从岭南运来新鲜荔枝。荔枝“一日色变，两日香变，三日味变”，而岭南距长安五千余里，山水迢迢，这是个不可能完成的任务，可为了家人，李善德决心放手一搏：“就算失败，我也想知道，自己倒在距离终点多远的地方。”  《长安的荔枝》是马伯庸备受好评的历史小说。  唐朝诗人杜牧的一句“一骑红尘妃子笑，无人知是荔枝来”一千多年来引发了人们的无限遐想，但鲜荔枝的保鲜时限仅有三天，这场跨越五千余里的传奇转运之旅究竟是如何达成的，谁让杨贵妃在长安吃到了来自岭南的鲜荔枝？作者马伯庸就此展开了一场脑洞非常大的想象。  沿袭马伯庸写作一贯以来的时空紧张感，不仅让读者看到了小人物的乱世生存之道，也感受到了事在人为的热血奋斗。随书附赠“荔枝鲜转运舆图”。    马伯庸，作家。人民文学奖、朱自清散文奖、茅盾新人奖得主。被评为沿袭“‘五四’以来历史文学创作的谱系”，致力于对“历史可能性小说”的探索。代表作：《大医》《两京十五日》《显微镜下的大明》《长安十二时辰》《古董局中局》《三国机密》《风起陇西》等。,90380字,26.99元
白夜追凶（潘粤明、王龙正主演影视同名小说，首次收录番外《钻石》）,https://pic.arkread.com/cover/ebook/f/485282286.1732170744.jpg!cover_default.jpg,https://read.douban.com/ebook/485282286/,"指纹 著, 谢十三 改编",◎豆瓣超72万人打出8.9分，播放量超35亿，国产悬疑剧开山之作《白夜追凶》剧本小说，《刀锋上的救赎》《庭外》《重生》作者指纹经典作品。  ◎特别收录首次公开番外篇《钻石》。  ◎影视原著×都市悬疑×犯罪剧情×探案推理。  在追寻真相的道路上，白天和黑夜，从来都同等长久。  一场灭门惨案，让原本逍遥浪荡的关宏宇成了在逃的通缉嫌犯。身为刑侦支队队长的双胞胎哥哥关宏峰誓要查出真相，但由于亲属回避原则，警队禁止关宏峰参与灭门案的调查工作。关宏峰义愤辞职。  调任代支队长的周巡出于破案压力，也为了追寻关宏宇的下落，设计让离职的关宏峰以“编外顾问”的身份继续参与各大重案要案的调查。  由于关宏峰罹患“黑暗恐惧症”，白天和黑夜出现在警队的“顾问关宏峰”，其实是由孪生兄弟分饰的。性格迥异的关氏兄弟在警队中破绽不断，冒着随时被周巡及各路人马发现的危险，一边努力侦破各种大案要案，一边伺机调阅灭门案的案卷以查出真相……    指纹  2004年创建犯罪剖绘爱好者团体“指纹·犯罪研究工作室”。  2007年开办同名主题咖啡屋。  小说作品：《刀锋上的救赎》。  编剧作品：《白夜追凶》《重生》《庭外》《白夜破晓》等。,438927字,29.99元
洛丽塔,https://pic.arkread.com/cover/ebook/f/5600586.1653712624.jpg!cover_default.jpg,https://read.douban.com/ebook/5600586/,"[美] 弗拉基米尔·纳博科夫, 译者: 主万","《洛丽塔》（Lolita）是作者弗拉基米尔·纳博科夫流传最广的作品，绝大部分篇幅是死囚亨伯特的自白，叙述了一个中年男子与一个未成年少女的恋爱故事。  《洛丽塔》是影响世界的百部文学名著之一。小说故事生动，情节曲折，开创了现代两性文学伦理上的新视角，淡化了常识上的社会内涵与道德是非，完成了""年少的美国诱惑衰老的欧洲""的寓言。《洛丽塔》原著问世五十年来第一部中文全译本。纳博科夫最著名最有争议的小说杰作。  弗拉基米尔·纳博科夫（Vladimir Nabokov, 1899-1977），纳博科夫是二十世纪公认的杰出小说家和文体家。1899年4月23日，纳博科夫出生于圣彼得堡。布尔什维克革命期间，纳博科夫随全家于1919年流亡德国。他在剑桥三一学院攻读法国和俄罗斯文学后，开始了在柏林和巴黎十八年的文学生涯。  1940年，纳博科夫移居美国，在威尔斯理、斯坦福、康奈尔和哈佛大学执教，以小说家、诗人、批评家和翻译家身份享誉文坛，著有《庶出的标志》、《洛丽塔》、《普宁》和《微暗的火》等长篇小说。  1955年9月15日，纳博科夫最有名的作品《洛丽塔》由巴黎奥林匹亚出版并引发争议。  1961年，纳博科夫迁居瑞士蒙特勒；1977年7月2日在洛桑病逝。",264532字,8.99元
哈利·波特完整系列 （全七册）,https://pic.arkread.com/cover/ebook/f/20505819.1724919787.jpg!cover_default.jpg,https://read.douban.com/ebook/20505819/,"[英] J. K. 罗琳 , 译者: 马爱农, 译者: 马爱新","此版本为“哈利·波特”完整系列的中文版，英文原版见：https://read.douban.com/ebook/23350515/  哈利·波特被丢在门阶上的时候还是个婴儿，当时的他并不知道自己就是那个""大难不死的男孩""，也不知道自己是魔法世界里的大名人。几年后，他意外地收到了霍格沃茨魔法学校的入学通知随后不久，他就开启了一场与众不同的魔法冒险。快来和哈利以及他的挚友赫敏和罗恩一起，开启这个有关真实、爱与希望之力的故事。  作为本世代的经典之作，哈利波特电子书集书将无疑为你从另一个世界带来心灵上的慰藉。在他们所传递的希望、归属感，以及贯穿始终的真实与爱的加持下，这个小男孩的成长故事将继续激励新世代的读者。  J.K.罗琳（J.K. Rowling），1965年7月31日出生于英国格温特郡，毕业于英国埃克塞特大学，英国作家。  1989年，24岁的罗琳有了创作哈利·波特的念头。1997年6月，推出哈利·波特系列第一本《哈利·波特与魔法石》。随后，罗琳又分别于1998年与1999年创作了《哈利·波特与密室》和《哈利·波特与阿兹卡班的囚徒》。2001年，美国华纳兄弟电影公司决定将小说的第一部《哈利·波特与魔法石》搬上银幕。2003年6月，她再创作出第五部作品《哈利·波特与凤凰社》。2004年，罗琳荣登《福布斯》富人排行榜，她的身价达到10亿美元。2005年7月推出了第六部《哈利·波特与混血王子》，2007年7月推出终结篇《哈利·波特与死亡圣器》。截至2008年，《哈利·波特》系列7本小说被翻译成67种文字在全球发行4亿册。2010年，哈利·波特电影系列的完结篇《哈利·波特与死亡圣器》拍摄完成。",2068713字,149.98元
克莱因壶,https://pic.arkread.com/cover/ebook/f/158012243.1653696217.jpg!cover_default.jpg,https://read.douban.com/ebook/158012243/,"[日] 冈岛二人, 译者: 张舟",不朽的传奇之作，最顶级的娱乐作品，将“娱乐”的解释发挥到极致，定义“超越时代”的标准。无人能拒绝它的流畅度吸引力，可谓畅游于梦幻边境的阅读体验。1989年的VR题材科幻推理，完全可用“不可一世”来形容它的前瞻性。极多人知道《盗梦空间》，很多人知道《红辣椒》（《梦侦探》），而《克莱因壶》的诞生比他们更早，同时具备后来者只能仰望致敬的设定。崩坏到令人窒息纠结议论未果的结局是整个主题升华，彻底将世界观玩得团团转，犹如盘古开天地又绞为一团，握紧，然后使劲撒落绽放烟火，留给读者在合上书本之后冒险于脑海中自行浮游探秘，在绝望拷问的边缘华丽邂逅。故事是真实的吗？创作于80年代是真实的吗！30年后才读，绝不因为“倚老卖老”才给五星。比台版多了猪神总导读+上杉彰彦解说。它，能引进大陆，不能更好了……    冈岛二人，日本推理文坛罕见的传奇组合，为井上泉、德山谆一共同的笔名，取自日语“两个怪人”的谐音。1982年，冈岛二人以《宝马血痕》摘得江户川乱步奖出道，之后又于1985年凭《巧克力游戏》荣获第39届日本推理作家协会奖、1989年凭《99%的诱拐》荣获第10届吉川英治文学新人奖。短短8年内他们创作了27部风格独特的高水准推理杰作，至今仍影响深远。1989年，这对搭档突然宣布解散，《克莱因壶》成为其最后的绝唱，从此冈岛二人不复存在。,124360字,9.98元
悉达多,https://pic.arkread.com/cover/ebook/f/31953088.1653706026.jpg!cover_default.jpg,https://read.douban.com/ebook/31953088/,"[德] 赫尔曼·黑塞, 译者: 姜乙",《悉达多》并非是佛陀的故事，它讲述了一个人的一生，千万寻常人亦会经历的一生。  意气风发的少年郎，常认为自己是被命运选中的人。抛下过去，随了跌跌撞撞的步伐，找寻心中的声音，追逐名利，经历友情，品尝爱情。不同的是，悉达多一生追求的是生命的圆融统一，看似宏大，确是每个人无法回避的问题。  黑塞的语言是充满诗性的，正如本书副题“一首印度的诗”，因不得而知的原因，此副题在前人所出版本中都被回避了。为了尽可能表现黑塞的诗意，我们选择从德文直译（据悉市面销量最高版本译自英文版），尽管我们的译文不能完全实现这种诗意，但其诗的本性与精神显而易见。  本书地位在前人的版本中已被反复强调——亨利·米勒的最爱；影响了包括电台司令在内的许多名人雅士；在六十年代美国掀起过阅读黑塞的热潮，大学生们人手一册等等。  但如书中成为摆渡人的悉达多所述，智慧无法分享，它可以被发现，被体验。  所以倘若你碰巧遇到了这本小书，请细细品味其中的文字。  愿你在读了悉达多的故事后，也能有所感悟，并开始体验属于自己的人生。    赫尔曼·黑塞 |  Hermann Hesse  （1877—1962）  作家，诗人，画家。  1877年生于德国，1924年入籍瑞士。  1946年获诺贝尔文学奖。  20世纪六十年代美国掀起过阅读黑塞的热潮。  被誉为德国浪漫派的最后一位骑士。  主要作品  1904 《彼得·卡门青》  1906 《在轮下》  1913 《印度札记》  1919 《德米安》  1922 《悉达多》  1923 《辛克莱的笔记》  1925 《温泉疗养客》  1927 《荒原狼》  1928 《沉思录》  1930 《纳尔齐斯和歌尔德蒙》  1932 《东方之旅》  1943 《玻璃珠游戏》,55713字,32.0元
