电影名称,发布日期,下载链接
2024年剧情《何处生长》HD国语中英双字,2024-10-26,magnet:?xt=urn:btih:b409f9fe2d7df1320e53464beb8d404526fe5a51&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e4%bd%95%e5%a4%84%e7%94%9f%e9%95%bf.2024.HD.1080P.%e5%9b%bd%e8%af%ad%e4%b8%ad%e8%8b%b1%e5%8f%8c%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2024年动作《黑雀特工》HD国英双语双字,2024-10-25,magnet:?xt=urn:btih:e384313ac53aecb1c01b251401f4decf8b5c0d34&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e9%bb%91%e9%9b%80%e7%89%b9%e5%b7%a5.2024.HD.1080P.%e5%9b%bd%e8%8b%b1%e5%8f%8c%e8%af%ad%e5%8f%8c%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2023年剧情犯罪《命案/重案》HD国粤双语中字,2024-10-25,magnet:?xt=urn:btih:8d723d4bae9fc572fb191f052733928b0f171ea9&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e5%91%bd%e6%a1%88.2024.HD.4K.%e5%9b%bd%e7%b2%a4%e5%8f%8c%e8%af%ad%e4%b8%ad%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2024年科幻动作《变形金刚：起源》BD中英双字,2024-10-24,magnet:?xt=urn:btih:0d298ffa1d2e31834c44804513e64a8314d9e012&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e5%8f%98%e5%bd%a2%e9%87%91%e5%88%9a%ef%bc%9a%e8%b5%b7%e6%ba%90.2024.BD.1080P.%e4%b8%ad%e8%8b%b1%e5%8f%8c%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2024年剧情恐怖《某种物质/惧裂》BD中英双字,2024-10-22,magnet:?xt=urn:btih:3bd12060060e4a2d7a8f9c39a351086861444241&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e6%9f%90%e7%a7%8d%e7%89%a9%e8%b4%a8.2024.BD.1080P.%e4%b8%ad%e8%8b%b1%e5%8f%8c%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2024年动作《破毒》HD国语中字,2024-11-06,magnet:?xt=urn:btih:23b4c6ddef390284c39759f67a32d520ebdde3cf&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e7%a0%b4%e6%af%92.2024.HD.1080P.%e5%9b%bd%e8%af%ad%e4%b8%ad%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2024年剧情犯罪《黑白有界》HD国语中字,2024-11-05,magnet:?xt=urn:btih:ff49239da0c1037e5092446fd524257158d739bb&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e9%bb%91%e7%99%bd%e6%9c%89%e7%95%8c.2024.HD.1080P.%e5%9b%bd%e8%af%ad%e4%b8%ad%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2024年剧情《1992/洛杉矶大暴乱》BD中英双字,2024-11-04,magnet:?xt=urn:btih:3580a75b8fcacbaba46299beb0a201042d946ce3&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e6%b4%9b%e6%9d%89%e7%9f%b6%e5%a4%a7%e6%9a%b4%e4%b9%b1.2024.BD.1080P.%e4%b8%ad%e8%8b%b1%e5%8f%8c%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2024年动作喜剧《我的女大佬》HD国语中字,2024-11-02,magnet:?xt=urn:btih:43d356c2295bdc68c84a02116e1bc2ae09544f20&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e6%88%91%e7%9a%84%e5%a5%b3%e5%a4%a7%e4%bd%ac.2024.HD.1080P.%e5%9b%bd%e8%af%ad%e4%b8%ad%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2024年科幻《天启Z：完结的起点》BD中英双字,2024-11-01,magnet:?xt=urn:btih:462ef8c0aa6ad98e2865ed6fa6b07b22993b177d&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e5%a4%a9%e5%90%afZ%ef%bc%9a%e5%ae%8c%e7%bb%93%e7%9a%84%e8%b5%b7%e7%82%b9.2024.BD.1080P.%e4%b8%ad%e8%8b%b1%e5%8f%8c%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2024年动作喜剧《末路老奶》BD英语中字,2024-10-29,magnet:?xt=urn:btih:684a22767faa076237940ceb514972ab80365b65&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e6%9c%ab%e8%b7%af%e8%80%81%e5%a5%b6.2024.BD.1080P.%e8%8b%b1%e8%af%ad%e4%b8%ad%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2024年惊悚恐怖《行动倒数》BD中英双字,2024-10-29,magnet:?xt=urn:btih:0f416247e46cb8498d55eb8d58c9dff0aa008af0&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e8%a1%8c%e5%8a%a8%e5%80%92%e6%95%b0.2024.BD.1080P.%e4%b8%ad%e8%8b%b1%e5%8f%8c%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2024年动作《机密行动/绝命杀手》BD中英双字,2024-10-27,magnet:?xt=urn:btih:d62507ef35173c7e91b446c17884b2c5ee49905a&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e6%9c%ba%e5%af%86%e8%a1%8c%e5%8a%a8.2024.HD.1080P.%e4%b8%ad%e8%8b%b1%e5%8f%8c%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2024年惊悚动作《夜车》BD中英双字,2024-10-26,magnet:?xt=urn:btih:9a24ecc4fa9ead3a90bf7c136ff640f65be81827&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e5%a4%9c%e8%bd%a6.2023.BD.1080P.%e4%b8%ad%e8%8b%b1%e5%8f%8c%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2024年奇幻动画《守龙者/养龙人》HD国语中英双字,2024-10-26,magnet:?xt=urn:btih:989284b65f3298c5c056109bca3064cb37399966&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e5%ae%88%e9%be%99%e8%80%85.2024.HD.4K.%e5%9b%bd%e8%af%ad%e4%b8%ad%e8%8b%b1%e5%8f%8c%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2024年冒险喜剧《盐湖计划》HD国语中英双字,2024-10-24,magnet:?xt=urn:btih:203c8932517a247b68d19ec7dd25f96d5974cdb6&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e7%9b%90%e6%b9%96%e8%ae%a1%e5%88%92.2024.HD.1080P.%e5%9b%bd%e8%af%ad%e4%b8%ad%e8%8b%b1%e5%8f%8c%e5%ad%97.mp4&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2024年奇幻悬疑《时空救赎》HD国语中字,2024-10-23,magnet:?xt=urn:btih:6c6be544b93a2b1cf021e00af7676293255b445a&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e6%97%b6%e7%a9%ba%e6%95%91%e8%b5%8e.2024.HD.1080P.%e5%9b%bd%e8%af%ad%e4%b8%ad%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2024年恐怖《人面兽心》BD中英双字,2024-10-23,magnet:?xt=urn:btih:966c2e9dd1d76234e01270a5c801073a6cf5690c&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e4%ba%ba%e9%9d%a2%e5%85%bd%e5%bf%83.2024.BD.1080P.%e4%b8%ad%e8%8b%b1%e5%8f%8c%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2024年恐怖《怖谷鸟/布谷鸟》BD中英双字,2024-10-23,magnet:?xt=urn:btih:38d71e07e975d52ed1e3c3035f9ec0d08477bd68&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e6%80%96%e8%b0%b7%e9%b8%9f.2024.BD.1080P.%e4%b8%ad%e8%8b%b1%e5%8f%8c%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2024年动作恐怖《地狱男爵：歪曲人》BD中英双字,2024-10-22,magnet:?xt=urn:btih:679b00d7c6333bcbff7f5873a6d75e6e1328a517&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e5%9c%b0%e7%8b%b1%e7%94%b7%e7%88%b5%ef%bc%9a%e6%ad%aa%e6%9b%b2%e4%ba%ba.2024.BD.1080P.%e4%b8%ad%e8%8b%b1%e5%8f%8c%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2024年动作《保镖》HD国语中字,2024-10-21,magnet:?xt=urn:btih:58e08b1470ff3b231080b694ee567d8784dd40c8&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e4%bf%9d%e9%95%96.2024.HD.1080P.%e5%9b%bd%e8%af%ad%e4%b8%ad%e5%ad%97.mp4&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2024年惊悚恐怖《腐坏之巫/战利品之家》BD中英双字,2024-10-20,magnet:?xt=urn:btih:95edb7975d52f17b9cb670fac1ff29945ae29a76&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e8%85%90%e5%9d%8f%e4%b9%8b%e5%b7%ab.2024.BD.1080P.%e4%b8%ad%e8%8b%b1%e5%8f%8c%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
2024年沈腾马丽喜剧《抓娃娃》,2024-11-05,magnet:?xt=urn:btih:3e6644f11a404b916302e5559cb523893e15aec1&amp;dn=%e9%98%b3%e5%85%89%e7%94%b5%e5%bd%b1dygod.org.%e6%8a%93%e5%a8%83%e5%a8%83.2024.HD.1080P.%e5%9b%bd%e8%af%ad%e4%b8%ad%e5%ad%97.mkv&amp;tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&amp;tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce
